Loud audio value :shubhi5.mp3 : 0.000002
Loud audio value :sumanta5.mp3 : 0.000001
Loud audio value :pratima5.mp3 : 0.000002
Loud audio value :sangam5.mp3 : 0.000001
Loud audio value :Ashka5.mp3 : 0.000003
Loud audio value :kalpana5.mp3 : 0.000150
Loud audio value :aridum5.mp3 : 0.000013
Loud audio value :sana5.mp3 : 0.000296
Loud audio value :Anamika5.mp3 : 0.000004
Loud audio value :silky5.mp3 : 0.000000
Loud audio value :Aakansha5.mp3 : 0.000000
Loud audio value :Chirag5.mp3 : 0.000011
Loud audio value :elvis5.mp3 : 0.000229
Loud audio value :a5.mp3 : 0.000006
