Not Loud Audio value  :elvis4.mp3  : 0.000007
Not Loud Audio value  :shubhi4.mp3  : 0.000001
Not Loud Audio value  :kalpana4.mp3  : 0.000008
Not Loud Audio value  :pratima4.mp3  : 0.000002
Not Loud Audio value  :Anamika4.mp3  : 0.000003
Not Loud Audio value  :Aakansha4.mp3  : 0.000000
Not Loud Audio value  :ashka4.mp3  : 0.000001
Not Loud Audio value  :silky4.mp3  : 0.000000
Not Loud Audio value  :sumanta4.mp3  : 0.000000
Not Loud Audio value  :b4.mp3  : 0.000002
Not Loud Audio value  :sana4.mp3  : 0.000191
Not Loud Audio value  :aridum4.mp3  : 0.000018
Not Loud Audio value  :sangam4.mp3  : 0.000000
Not Loud Audio value  :Chirag4.mp3  : 0.000003
Not Loud Audio value  :a4.mp3  : 0.000002
